category,title,text
Service Policy,Support Channels,"Customers can contact customer support through approved channels such as email, phone, and the online support portal."
Service Policy,Business Hours,Standard customer support requests are normally handled during business hours.
Service Policy,Urgent Issues,Urgent service interruptions may receive higher priority when they have a significant impact on the customer.
Customer Support FAQ,Required Information,"Customers should provide their customer ID, order number, and a clear description of the issue when contacting support."
Customer Support FAQ,Product Not Working,"If a product is not working, customers should first restart the product and check that required connections are secure."
Customer Support FAQ,Software Problems,"When reporting a software problem, customers should provide the error message and explain when the problem started."
Contract Information,Contract Review,Customers should review their applicable contract terms before changing or cancelling a service.
Contract Information,Month-to-Month Contract,Month-to-month contracts generally provide greater flexibility because the customer has a shorter commitment period.
Contract Information,Contract Changes,Contract changes must be processed according to approved business procedures and applicable agreement terms.
Cancellation Policy,Cancellation Request,Customers who want to cancel a service should contact customer support through an approved support channel.
Cancellation Policy,Account Verification,The customer account should be verified before a cancellation request is processed.
Cancellation Policy,Cancellation Conditions,Applicable contract terms should be reviewed to determine whether cancellation conditions or charges apply.
Billing Policy,Billing Questions,"Customers can contact support when they have questions about their invoice, payment, billing amount, or unexpected charge."
Billing Policy,Billing Dispute,Customers submitting a billing dispute should identify the specific charge they believe is incorrect.
Billing Policy,Billing Adjustment,"If an incorrect charge is identified, the appropriate billing adjustment should follow applicable approval rules."
Retention Guidelines,Cancellation Reason,"When a customer considers cancellation, support staff should first understand the customer's reason for considering cancellation."
Retention Guidelines,Technical Retention,"For technical problems, support staff should attempt appropriate troubleshooting or escalation before discussing cancellation."
Retention Guidelines,Customer Choice,Customers should receive clear information about available options and should not be pressured into continuing a service.
Support Procedures,Record Support Requests,All customer support requests should be recorded in the support system so that the issue and its progress can be tracked.
Support Procedures,Technical Troubleshooting,"For technical issues, support staff should collect relevant details and record troubleshooting steps already completed."
Support Procedures,Issue Escalation,Issues that cannot be resolved using standard procedures should be escalated to the appropriate support team.
Business Rules,Account Verification,"Support staff should verify the customer account before processing requests involving billing, contracts, or cancellations."
Business Rules,Refund Approval,Refunds and billing adjustments should only be provided when the applicable eligibility requirements are satisfied.
Business Rules,Unauthorized Exceptions,Support staff should not create unauthorized exceptions to approved business rules or service policies.
Service Policy,Support Request Priority,Support requests should normally be handled in the order they are received unless an issue requires higher priority.
Service Policy,Customer Information,Customers may be asked to provide relevant account or order information so that support staff can investigate their request.
Service Policy,Account Verification,Account information should be verified before support staff discuss sensitive billing or account details.
Service Policy,Technical Support,Customers reporting technical problems may be asked to complete basic troubleshooting steps before escalation.
Service Policy,Support Case Updates,Customers can request an update about an open support case through an approved support channel.
Service Policy,Existing Support Case,Customers reporting an existing issue should provide the previous support reference number when available.
Service Policy,Support Documentation,"Support staff should record the reported problem, troubleshooting actions, customer communications, and final resolution."
Service Policy,Escalation Process,Issues that cannot be resolved through standard support procedures should be escalated to the appropriate team.
Service Policy,Clear Communication,Support staff should communicate instructions and service decisions clearly so that customers understand the available options.
Service Policy,Sensitive Information,Customers should avoid sharing unnecessary sensitive information when submitting a support request.
Customer Support FAQ,How to Contact Support,"Customers can contact support through approved email, phone, or online support channels."
Customer Support FAQ,What Information to Provide,"Customers should provide their customer ID, order number, and a clear description of the issue."
Customer Support FAQ,Product Restart,"If a product is not working, customers should restart the product before trying additional troubleshooting steps."
Customer Support FAQ,Connection Check,Customers experiencing product problems should check that all required connections are secure.
Customer Support FAQ,Error Messages,Customers reporting software problems should provide any error message displayed by the product.
Customer Support FAQ,When the Problem Started,Customers should explain when a technical problem started because this information can help support investigate the issue.
Customer Support FAQ,Previous Troubleshooting,Customers should tell support staff which troubleshooting steps they have already tried.
Customer Support FAQ,Existing Support Reference,Customers contacting support about an existing issue should provide the previous support reference number when available.
Customer Support FAQ,Account Verification,Support staff may need to verify the customer account before discussing account-specific information.
Customer Support FAQ,Sensitive Information,Customers should avoid including unnecessary sensitive information in support messages.
Contract Information,Contract Type,Customers should review their current contract type before making decisions about changing or cancelling a service.
Contract Information,Month-to-Month Contract,Month-to-month contracts generally provide greater flexibility because they involve a shorter commitment period.
Contract Information,One-Year Contract,One-year contracts provide a longer service commitment and may have conditions that differ from month-to-month agreements.
